Level,Year,Name,Depth,Indicator,Metric,Reference,Median,Lower,Upper,tn.reefs,n.below,Latitude,Longitude
GBRMP,2007,GBRMP,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.6677552824167197,0.6449773235383854,0.6914778783576332,135,19,NA,NA
GBRMP,2007,GBRMP,NA,Coral.cover,rescale.dist.metric,Baseline,0.5694827535327242,0.5099971695332568,0.6292500823723209,135,16,NA,NA
GBRMP,2007,GBRMP,NA,Macroalgae,distance.metric,Baseline,0.6072466460665478,0.5504710191628547,0.6576649563142565,135,25,NA,NA
GBRMP,2007,GBRMP,NA,Macroalgae,rescale.consequence.metric,Critical,0.7175340612546077,0.684150661932585,0.7452399408162794,135,19,NA,NA
GBRMP,2008,GBRMP,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.6546927232467052,0.6283819112154281,0.6846779230169999,123,19,NA,NA
GBRMP,2008,GBRMP,NA,Coral.cover,rescale.dist.metric,Baseline,0.5600556194491414,0.4941142632449044,0.6213110129906623,123,15,NA,NA
GBRMP,2008,GBRMP,NA,Macroalgae,distance.metric,Baseline,0.5624356734370224,0.4931734077358301,0.6353288062285593,123,18,NA,NA
GBRMP,2008,GBRMP,NA,Macroalgae,rescale.consequence.metric,Critical,0.728083895200488,0.6971942092243499,0.7555832916643683,123,12,NA,NA
GBRMP,2009,GBRMP,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.6994747859987152,0.6759126900402218,0.7203475463382497,132,18,NA,NA
GBRMP,2009,GBRMP,NA,Coral.cover,rescale.dist.metric,Baseline,0.5879843046517704,0.5303900709828446,0.6492926669344907,132,14,NA,NA
GBRMP,2009,GBRMP,NA,Macroalgae,distance.metric,Baseline,0.5889537270470941,0.5295154849838948,0.6446020474809698,132,17,NA,NA
GBRMP,2009,GBRMP,NA,Macroalgae,rescale.consequence.metric,Critical,0.761824935829898,0.7275515499055364,0.788447736020916,132,13,NA,NA
GBRMP,2010,GBRMP,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.5454185884081084,0.5108015630824291,0.5814789674274353,104,26,NA,NA
GBRMP,2010,GBRMP,NA,Coral.cover,rescale.dist.metric,Baseline,0.49053340859680905,0.4197480115287837,0.5485672296570709,104,27,NA,NA
GBRMP,2010,GBRMP,NA,Macroalgae,distance.metric,Baseline,0.5518893672937474,0.4893936550858856,0.6272932172056025,104,19,NA,NA
GBRMP,2010,GBRMP,NA,Macroalgae,rescale.consequence.metric,Critical,0.738869655408288,0.7107959578116824,0.7635227858727581,104,10,NA,NA
GBRMP,2011,GBRMP,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.5027313846449621,0.4764133651297209,0.5281567467723383,110,35,NA,NA
GBRMP,2011,GBRMP,NA,Coral.cover,rescale.dist.metric,Baseline,0.43667290729061214,0.3744802883910685,0.491283627924581,110,33,NA,NA
GBRMP,2011,GBRMP,NA,Macroalgae,distance.metric,Baseline,0.717523528039585,0.6551334861136001,0.7642113564639994,110,8,NA,NA
GBRMP,2011,GBRMP,NA,Macroalgae,rescale.consequence.metric,Critical,0.8740970632559142,0.8435412166293371,0.8955590478566228,110,3,NA,NA
GBRMP,2012,GBRMP,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.4318132029692152,0.4061756804765024,0.4579123354438435,139,55,NA,NA
GBRMP,2012,GBRMP,NA,Coral.cover,rescale.dist.metric,Baseline,0.3974471816385126,0.3406023935835714,0.45353696130977705,139,59,NA,NA
GBRMP,2012,GBRMP,NA,Macroalgae,distance.metric,Baseline,0.550935595146485,0.4867269850784555,0.6153146473266338,139,24,NA,NA
GBRMP,2012,GBRMP,NA,Macroalgae,rescale.consequence.metric,Critical,0.7356485939428936,0.7065838221776143,0.7596623666577044,139,19,NA,NA
GBRMP,2013,GBRMP,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.4949977983132055,0.4650529388598785,0.5218153190826522,102,31,NA,NA
GBRMP,2013,GBRMP,NA,Coral.cover,rescale.dist.metric,Baseline,0.4312178219892168,0.37611245040255725,0.4934474377610866,102,31,NA,NA
GBRMP,2013,GBRMP,NA,Macroalgae,distance.metric,Baseline,0.5421708499114188,0.47363734003814434,0.5965199324726749,102,15,NA,NA
GBRMP,2013,GBRMP,NA,Macroalgae,rescale.consequence.metric,Critical,0.7155261610134405,0.6915966768204537,0.7359772093034245,102,11,NA,NA
