Theme,Variable,Description,Logic_criteria,Criteria
Condition,Autotext.class,"In <b>%s</b>, the overall condition reef habitats was classified as <b>%s</b>.",,
Condition,Good, The reef habitat is in good condition with all Indicators are at or above  relevant  historical and expected reference levels.,"Cl==""Good""",
Condition,Watch,This classification indicates means the habitat condition is moderate but at least one indicator is under performing. This suggests it is important to keep these reef on watch and monitor the trajectories next year ,"Cl==""Watch""",
Condition,Warning I,This classification indicates a first level of warning. Reef habitats are either not recovering as expected or certain processes are underperforming. This suggests there is an increased risk of further deterioration of the reef condition into the future. ,"Cl==""Warning I""",
Condition,Warning II,This classification indicates a second level of warning. Reef habitats are  showing signs of a compromised condition. A higher risk of continued degradation is expected unless the performance of recovery processes improve ,"Cl==""Warning II""",
Condition,Critical,"This classification suggests reef habitats are in a critical condition, already showing a degraded condition with no signs of improvement and compromised recovery processes","Cl==""Critical""",
Ecosystem engineering,Autotext1,"The %s declined to be below historical reference levels. At current levels, hard corals are unlikely to be supporting positive reef accretion at %s of the reefs monitored.",(isTRUE(Low.hc) & (as.numeric(n.conseq) >0) & low.years<=1),
Ecosystem engineering,Autotext2,"The %s declined to be below historical reference levels. However, at current levels the cover hard corals are likely to be supporting positive reef accretion at all reefs monitored.",(isTRUE(Low.hc) & as.numeric(n.conseq)==0 & low.years==1),
Ecosystem engineering,Autotext3,The %s has remained below historical reference levels since %s. At %s levels hard corals are unlikely to be supporting positive reef accretion at %s of %s the reefs monitored.,(isTRUE(Low.hc) & as.numeric(n.conseq) >0 & low.years>1),
Ecosystem engineering,Autotext4,"The %s has remained below historical reference levels since %s. However, at %s levels the cover hard corals are likely to be supporting positive reef accretion at all reefs monitored.",isTRUE(Low.hc) & as.numeric(n.conseq==0) & low.years>1,
Ecosystem engineering,Autotext5,The %s is at or above historical reference levels. At current levels hard corals are likely to be supporting positive reef accretion at %s of %s the reefs monitored.,isFALSE(Low.hc) & as.numeric(n.conseq >0),
Ecosystem engineering,Autotext6,The %s is at or above historical reference levels. At current levels hard corals are likely to be supporting positive reef accretion at all reefs monitored,isFALSE(Low.hc) & as.numeric(n.conseq==0),
Trends,Autotext7,"In contrast to scores for %s, the median %s across the region is lower than expected based on the rate typical for each reef's bioregion.",isTRUE(Low.pe) & isFALSE(Low.hc),
Trends,Autotext8,"Compounding low %s scores, the median %s is also lower than expected based on the rate typical for each reef's bioregion.",isTRUE(Low.pe) & isTRUE(Low.hc),
Trends,Autotext9,"Supporting scores for %s, the median %s was consistent with rates typical for each reef's bioregion.",isFALSE(Low.pe) & isFALSE(Low.hc),
Trends,Autotext10,"Although %s is low, the median %s was consistent with rates typical for each reef's bioregion.",isFALSE(Low.pe) & isTRUE(Low.hc),
Trends,Autotext11,"In addition to the slow rate of recovery relative to historical values, the %s has declined at all reefs relative to their recent recovery trajectories.",n.reef.pe==n.reef.pe.low & isTRUE(Low.pe),
Trends,Autotext11a,"In addition to the slow rate of recovery relative to historical values, the %s has declined at %s reefs relative to their recent recovery trajectories.",n.reef.pe.low>0 & as.numeric(n.reef.pe.low)<as.numeric(n.reef.pe) & isTRUE(Low.pe),
Trends,Autotext12,"Despite the rate of recovery remaining similar to historical values across the region, the %s has declined at %s reefs relative to their recent recovery trajectories.",n.reef.pe.low>0 & as.numeric(n.reef.pe.low)<as.numeric(n.reef.pe) & isFALSE(Low.pe),
Trends,Autotext13,"Currently, the %s remains similar to recently observed rates at all reefs monitored.",n.reef.pe.low==0,
Processes,Autotext14,"Despite the observed levels of hard coral cover and recovery, low scores of %s and %s are of concern. ",isFALSE(Low.pe) & isFALSE(Low.hc) & isTRUE(Low.j) & isTRUE(Low.m),
Processes,Autotext15,"Further limiting the assessment of coral communities are that %s are below, and %s are above historical reference levels. ",isFALSE(Low.pe) & isTRUE(Low.hc) & isTRUE(Low.j) & isTRUE(Low.m),
Processes,Autotext16,"In contrast, scores for %s and %s suggest potential for recovery.",isTRUE(Low.pe) & isFALSE(Low.hc) & isTRUE(Low.j) & isTRUE(Low.m),
Processes,Autotext17,"Although %s is low, scores for %s and %s suggest ongoing recovery potential.",isTRUE(Low.pe) & isFALSE(Low.hc) & isFALSE(Low.j) & isFALSE(Low.m),
Processes,Autotext18,"Although %s is low, scores for %s and %s, in combination with the %s suggest ongoing recovery potential.",isFALSE(Low.pe) & isTRUE(Low.hc) & isFALSE(Low.j) & isFALSE(Low.m),
Processes,Autotext19,Scores for %s and %s add support to the ongoing resilience of coral communities demonstrated by the coral cover and recovery  Indicators.,isFALSE(Low.pe) & isFALSE(Low.hc) & isFALSE(Low.j) & isFALSE(Low.m),
